,game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa_against,wepa_net,wepa_against,d_wepa,wepa_net_opponent
1812,2007_07_CHI_PHI,CHI,PHI,2007,7.0,3.0,-3.0,11.195747478612398,5.371582614645528,5.82416486396687,-5.82416486396687,15.116109913716686,-0.6342571983165818,15.750367112033269,5.033512301209462,4.534693306853498,0.4988189943559638
1813,2007_08_DET_CHI,CHI,DET,2007,8.0,-9.0,9.0,-11.98399382552255,-4.524575971940067,-7.459417853582483,7.459417853582483,-13.340706203533584,-7.243558950678064,-6.097147252855519,3.43224724929845,-4.515353568107744,7.947600817406194
1814,2007_10_CHI_OAK,CHI,OAK,2007,9.0,11.0,-11.0,-8.359430703898088,-20.86969026515726,12.510259561259172,-12.510259561259172,-11.940631608502684,-20.798571908227323,8.857940299724639,-30.655334823666692,-9.886431173765711,-20.76890364990098
1815,2007_11_CHI_SEA,CHI,SEA,2007,10.0,-7.0,7.0,2.2142094798221814,7.030997491818653,-4.816788011996471,4.816788011996471,-0.17587389105929674,1.3882652688360937,-1.5641391598953904,13.055409939045031,-3.112620429652202,16.168030368697234
1816,2007_12_DEN_CHI,CHI,DEN,2007,11.0,3.0,-3.0,-2.1031351180784723,-0.5818682094898877,-1.5212669085885846,1.5212669085885846,-11.780037596144952,-0.3063414749374276,-11.473696121207524,4.771210599728551,-3.161046168600782,7.932256768329333
1817,2007_13_NYG_CHI,CHI,NYG,2007,12.0,-5.0,5.0,-5.151434125689624,0.27258831052904753,-5.424022436218672,5.424022436218672,-1.5667714490175098,5.504404712694926,-7.071176161712436,2.8522425572700447,-12.77675446246552,15.628997019735564
1818,2007_14_CHI_WAS,CHI,WAS,2007,13.0,-8.0,8.0,-6.7877687217749845,0.8709141980202749,-7.658682919795259,7.658682919795259,-21.840550329615837,-3.0843946057465885,-18.75615572386925,-10.898027165230358,-5.180093541379312,-5.717933623851046
1819,2007_15_CHI_MIN,CHI,MIN,2007,14.0,-7.0,7.0,-15.849262539232615,-10.277313920793588,-5.571948618439027,5.571948618439027,-26.97686970867373,-5.473324814981016,-21.503544893692712,-16.915090360646346,-15.21792780966148,-1.6971625509848653
1820,2007_16_GB_CHI,CHI,GB,2007,15.0,28.0,-28.0,-0.6801005535684173,-28.00787155693054,27.327771003362123,-27.327771003362123,-5.014184501495107,-16.11002906021613,11.095844558721025,-23.105111369057447,-6.684814074793503,-16.420297294263943
1821,2007_17_NO_CHI,CHI,NO,2007,16.0,8.0,-8.0,-0.024777219622894364,-6.234466975288833,6.209689755665939,-6.209689755665939,7.947719973990742,-3.3090543027445425,11.256774276735284,-8.068666631112578,-4.80733185334855,-3.261334777764028
1822,2008_01_CHI_IND,CHI,IND,2008,1.0,16.0,-16.0,7.792685955205965,-9.592315359343141,17.385001314549108,-17.385001314549108,4.344580616957463,-10.485827630286709,14.830408247244172,-7.909091994773766,-2.9185003785777175,-4.990591616196048
1823,2008_02_CHI_CAR,CHI,CAR,2008,2.0,-3.0,3.0,-17.499551003547516,-16.900609744228554,-0.5989412593189627,0.5989412593189627,-12.643730981414087,-16.309599657748976,3.665868676334888,-24.639362606115387,-18.480449610342404,-6.158912995772983
1824,2008_03_TB_CHI,CHI,TB,2008,3.0,-3.0,3.0,-5.972041003469443,-6.091225973602981,0.11918497013353768,-0.11918497013353768,-6.041850763379953,-4.545627491043778,-1.4962232723361755,-10.065718720916577,-1.0527442657002375,-9.012974455216339
1825,2008_04_PHI_CHI,CHI,PHI,2008,4.0,4.0,-4.0,-10.708446135221948,-11.869532355874675,1.1610862206527273,-1.1610862206527273,-4.773476060033434,-3.975772955355593,-0.7977031046778409,-12.733695079355298,-6.1829656102690125,-6.550729469086286
1826,2008_05_CHI_DET,CHI,DET,2008,5.0,27.0,-27.0,7.078321434845449,-25.818828377167694,32.89714981201314,-32.89714981201314,0.8550440021858751,-17.569229784691224,18.424273786877098,-29.31141430784445,-2.3918138335030963,-26.919600474341355
1827,2008_06_CHI_ATL,CHI,ATL,2008,6.0,-2.0,2.0,9.770894516214263,10.73761978324107,-0.966725267026808,0.966725267026808,1.3331081149550976,0.720169706427697,0.6129384085274007,9.176537789900832,-1.0998277462731625,10.276365536173994
1828,2008_07_MIN_CHI,CHI,MIN,2008,7.0,7.0,-7.0,8.102754055995927,13.260111011727382,-5.157356955731455,5.157356955731455,14.996082409203765,13.82384039891251,1.1722420102912547,8.648475000184174,9.314271631543352,-0.6657966313591785
1829,2008_09_DET_CHI,CHI,DET,2008,8.0,4.0,-4.0,-4.668567565212923,-5.110262264207904,0.44169469899498104,-0.44169469899498104,-7.042814437608911,-4.692219514504958,-2.3505949231039525,-4.266031482959094,-9.916782927811433,5.650751444852339
1830,2008_10_TEN_CHI,CHI,TEN,2008,9.0,-7.0,7.0,-16.511326742310906,-6.90889851926613,-9.602428223044775,9.602428223044775,-18.663707299085086,-16.01282623964152,-2.6508810594435666,-15.14928049125509,-14.30355311210028,-0.845727379154809
1831,2008_11_CHI_GB,CHI,GB,2008,10.0,-34.0,34.0,-13.965732184267836,18.92476574137315,-32.890497925640986,32.890497925640986,-10.87628054624396,6.850496450046316,-17.726776996290276,11.763733549290711,-16.248592380488667,28.01232592977938
1832,2008_12_CHI_LAR,CHI,LAR,2008,11.0,24.0,-24.0,1.3512876524960156,-27.795365537982434,29.14665319047845,-29.14665319047845,2.9650267086110285,-10.807484539958395,13.772511248569423,-20.826009038445054,-5.453658025347823,-15.37235101309723
1833,2008_13_CHI_MIN,CHI,MIN,2008,12.0,-20.0,20.0,-24.45025726554892,-4.771791122944094,-19.678466142604826,19.678466142604826,-17.430173046321745,-5.455708966763686,-11.974464079558057,-7.644524894076533,-15.652218140220361,8.007693246143827
1834,2008_14_JAX_CHI,CHI,JAX,2008,13.0,13.0,-13.0,1.5159628763688784,-11.942425765931905,13.458388642300783,-13.458388642300783,-1.633758220765859,-12.14622662924255,10.51246840847669,-14.278854199935898,-3.6257612540163553,-10.653092945919543
1835,2008_15_NO_CHI,CHI,NO,2008,14.0,3.0,-3.0,-0.22337087051846316,0.41116591033506056,-0.6345367808535237,0.6345367808535237,5.624431635796638,-4.128774864100533,9.753206499897171,-6.866343407763388,1.9716229608389744,-8.837966368602363
1836,2008_16_GB_CHI,CHI,GB,2008,15.0,3.0,-3.0,1.645039797138758,1.1050648386193074,0.5399749585194507,-0.5399749585194507,-3.993295672418316,1.2553291477731756,-5.248624820191491,6.1944738395160375,0.0036279833257935046,6.1908458561902435
1837,2008_17_CHI_HOU,CHI,HOU,2008,16.0,-7.0,7.0,7.585184389692297,13.457162188671262,-5.871977798978965,5.871977798978965,3.6335211412538486,4.590070808422189,-0.95654966716834,4.463893338381242,3.500908520655307,0.9629848177259346
1838,2009_01_CHI_GB,CHI,GB,2009,1.0,-6.0,6.0,-12.640737038300205,-5.404389729908741,-7.236347308391465,7.236347308391465,-12.72261289978583,-10.229703470024306,-2.4929094297615233,-12.45409155782871,-6.3220278026104495,-6.13206375521826
1839,2009_02_PIT_CHI,CHI,PIT,2009,2.0,3.0,-3.0,6.7217525380732095,-0.2207173604018251,6.942469898475035,-6.942469898475035,-0.3798286495777702,2.264111907505367,-2.643940557083137,3.9945999111960226,-4.040398522782107,8.03499843397813
1840,2009_03_CHI_SEA,CHI,SEA,2009,3.0,6.0,-6.0,2.4123181435611185,-5.29344642132294,7.705764564884059,-7.705764564884059,1.9069327440070603,-9.243368328260619,11.150301072267679,-9.383638687832196,6.806372164891255,-16.19001085272345
1841,2009_04_DET_CHI,CHI,DET,2009,4.0,24.0,-24.0,19.657858386458436,-1.720846626326872,21.378705012785307,-21.378705012785307,25.5192689336953,-4.172588375432385,29.691857309127684,-0.758887529296097,13.616732585472942,-14.375620114769038
1842,2009_06_CHI_ATL,CHI,ATL,2009,5.0,-7.0,7.0,-4.89307128887018,0.7563054235556622,-5.649376712425842,5.649376712425842,-2.2746100842294372,-1.5863927055060127,-0.6882173787234245,-2.7448532822710083,-5.878221437331177,3.133368155060169
1843,2009_07_CHI_CIN,CHI,CIN,2009,6.0,-35.0,35.0,-7.360439423549754,27.71914460402059,-35.07958402757035,35.07958402757035,-3.4796290340228166,15.603133001117026,-19.082762035139844,21.25606445027646,-3.949329776776235,25.205394227052697
1844,2009_08_CLE_CHI,CHI,CLE,2009,7.0,24.0,-24.0,-4.984254385986331,-32.4961069238105,27.51185253782417,-27.51185253782417,-7.426091422155785,-23.81405267962152,16.387961257465733,-30.93440507382187,-8.743792924937154,-22.190612148884718
1845,2009_09_ARI_CHI,CHI,ARI,2009,8.0,-20.0,20.0,-5.985576995571742,22.624038030235933,-28.609615025807678,28.609615025807678,-4.1597213032520886,13.36730069854252,-17.52702200179461,25.083377313524704,-4.710444993155801,29.793822306680504
1846,2009_10_CHI_SF,CHI,SF,2009,9.0,-4.0,4.0,-15.316938265110366,-14.76672439357738,-0.5502138715329856,0.5502138715329856,-15.517046224649057,-16.385767529211826,0.8687213045627686,-22.68184895323531,-9.291660602115718,-13.390188351119592
1847,2009_11_PHI_CHI,CHI,PHI,2009,10.0,-4.0,4.0,-5.866432759925258,1.0165295606989295,-6.882962320624188,6.882962320624188,-9.163584161611167,-0.9226082755112232,-8.240975886099944,7.5128703250366815,-7.601390305366593,15.114260630403274
